M200m M500c Yszr500c Yszcyl_x_r500c Yszcyl_y_r500c Yszcyl_z_r500c halo_ids r200m r500c
8.6125e+14 4.0583e+14 4.16523237933e-05 4.93397032587e-05 5.00505832574e-05 4.99010335624e-05 1 3421.83857143 1267.58285714
7.5031e+14 3.1033e+14 3.56155083241e-05 4.51909482812e-05 4.20269060955e-05 4.40513838081e-05 2 3268.10428571 1159.14428571
2.3462e+15 1.2338e+15 0.000431636848738 0.000487019883922 0.000477743972112 0.000480470018188 3 4779.03285714 1836.30571429
6.7713e+14 3.1918e+14 4.06436147435e-05 4.6795855591e-05 4.82828560748e-05 4.74850270537e-05 4 3158.2 1170.06142857
7.2858e+14 2.9799e+14 3.42306884957e-05 4.96202661288e-05 4.13344390066e-05 4.32628482346e-05 5 3236.25428571 1143.56857143
7.0305e+14 3.621e+14 5.63070427248e-05 6.56006386905e-05 6.73642813808e-05 6.67836037002e-05 6 3198.00285714 1220.31142857
6.9775e+14 4.0577e+14 6.26086560809e-05 6.72341808044e-05 6.90087489076e-05 6.75169547695e-05 7 3189.94428571 1267.52571429
4.2263e+14 1.2367e+14 7.87123566428e-06 1.02083477418e-05 1.0279358113e-05 1.18169550077e-05 8 2699.00571429 853.001428571
1.1896e+15 5.0735e+14 8.42481343838e-05 0.000102766917786 0.000104434240514 0.000104908333682 9 3810.82571429 1365.51571429
6.5117e+14 3.1674e+14 3.09277949652e-05 4.41433063983e-05 3.92377894619e-05 3.90195100163e-05 10 3117.31571429 1167.06857143
7.0416e+14 3.2409e+14 4.04534139041e-05 4.95384103419e-05 4.57117286059e-05 4.52899289875e-05 11 3199.68714286 1176.02
1.2475e+15 7.4051e+14 0.000153791735543 0.000177618875872 0.000172575893881 0.000173837015839 13 3871.60857143 1548.95285714
1.3465e+15 6.823e+14 0.000175167651997 0.000199506201933 0.000200702255627 0.000209724623747 14 3971.5 1507.25714286
6.5478e+14 2.4838e+14 3.00634861849e-05 3.76062387249e-05 3.55748740802e-05 3.49495492035e-05 15 3123.06428571 1076.21285714
8.732e+14 3.9149e+14 6.10627527607e-05 7.40094248931e-05 7.08903567753e-05 7.09112385471e-05 16 3437.58857143 1252.47571429
