M200c M200m M500c Yszcyl_x_r200c Yszcyl_x_r200m Yszcyl_x_r500c Yszcyl_y_r200c Yszcyl_y_r200m Yszcyl_y_r500c Yszcyl_z_r200c Yszcyl_z_r200m Yszcyl_z_r500c Yszr200c Yszr200m Yszr500c halo_ids r200c r200m r500c
5.8408e+14 8.6125e+14 4.0583e+14 1.03654689355e-34 1.23537617385e-34 8.53950465022e-35 1.0393335698e-34 1.24361805053e-34 8.49170658383e-35 1.04167485133e-34 1.22484677503e-34 8.54458444521e-35 9.30130404715e-35 1.18746765519e-34 7.25194929767e-35 1 1942.37571429 3421.83857143 1267.58285714
4.6888e+14 7.5031e+14 3.1033e+14 1.44682054755e-34 1.93215022053e-34 1.12922799131e-34 1.36900592131e-34 1.75833444699e-34 1.0468296643e-34 1.46107394672e-34 2.10468878688e-34 1.10607908515e-34 1.21817928987e-34 1.67764464289e-34 8.83383653355e-35 2 1805.21571429 3268.10428571 1159.14428571
1.6444e+15 2.3462e+15 1.2338e+15 1.41190332444e-33 1.52357086115e-33 1.23358786756e-33 1.40011550744e-33 1.52810368235e-33 1.20409397057e-33 1.38625115206e-33 1.52675183795e-33 1.20534646077e-33 1.30892336451e-33 1.49998341605e-33 1.06974526819e-33 3 2742.67428571 4779.03285714 1836.30571429
4.4267e+14 6.7713e+14 3.1918e+14 1.41630814779e-34 1.71938917499e-34 1.16633460599e-34 1.43158809664e-34 1.66402987445e-34 1.20657071754e-34 1.44556076566e-34 1.73043678345e-34 1.18739850047e-34 1.28648851337e-34 1.58186451204e-34 1.0054866253e-34 4 1770.93 3158.2 1170.06142857
4.6871e+14 7.2858e+14 2.9799e+14 1.58408338261e-34 1.72504508334e-34 1.23904629548e-34 1.34621237122e-34 1.67758867323e-34 1.02539332876e-34 1.37928576955e-34 1.69302779156e-34 1.07388768165e-34 1.26977913317e-34 1.64948913214e-34 8.49530626239e-35 5 1804.99571429 3236.25428571 1143.56857143
5.033e+14 7.0305e+14 3.621e+14 1.98387873321e-34 2.24760046726e-34 1.62707584144e-34 2.05014023209e-34 2.37253697405e-34 1.67914482231e-34 2.00798220311e-34 2.28370431198e-34 1.65807414978e-34 1.81172064932e-34 2.20767874638e-34 1.39475440142e-34 6 1848.35 3198.00285714 1220.31142857
5.119e+14 6.9775e+14 4.0577e+14 1.83566643334e-34 1.9831009374e-34 1.66892506909e-34 1.91436239011e-34 2.03219101161e-34 1.73051771218e-34 1.83462736103e-34 1.97781231445e-34 1.67465308225e-34 1.76299328644e-34 1.94871922641e-34 1.54961450944e-34 7 1858.81714286 3189.94428571 1267.52571429
1.9414e+14 4.2263e+14 1.2367e+14 3.74112942226e-35 6.34869040861e-35 2.54623757055e-35 3.75203262363e-35 6.52883396655e-35 2.56335147664e-35 4.86385745289e-35 6.95292482071e-35 2.93144937366e-35 3.26378260913e-35 5.96773028697e-35 1.9593596815e-35 8 1345.48571429 2699.00571429 853.001428571
8.1132e+14 1.1896e+15 5.0735e+14 3.39319496324e-34 4.03418053042e-34 2.56397740053e-34 3.43138650132e-34 3.98844719988e-34 2.61323294688e-34 3.39877602782e-34 3.99296574663e-34 2.606851096e-34 3.02336858884e-34 3.80103689719e-34 2.08817446878e-34 9 2167.23285714 3810.82571429 1365.51571429
4.7725e+14 6.5117e+14 3.1674e+14 1.39334202684e-34 1.58566468315e-34 1.1011455056e-34 1.34374578337e-34 1.55763915936e-34 9.76257699684e-35 1.33469054547e-34 1.55742446068e-34 9.71821728276e-35 1.20940216945e-34 1.49797317486e-34 7.67712265775e-35 10 1815.88857143 3117.31571429 1167.06857143
4.8126e+14 7.0416e+14 3.2409e+14 5.73063581712e-05 6.33233970804e-05 4.97655431114e-05 5.45635818423e-05 6.31773403663e-05 4.5730679271e-05 5.31433885409e-05 6.17982686302e-05 4.51997919393e-05 5.04660283149e-05 6.04001250998e-05 4.02264671178e-05 11 1820.96428571 3199.68714286 1176.02
9.9734e+14 1.2475e+15 7.4051e+14 4.99367909777e-34 5.24801948755e-34 4.43113897987e-34 4.99108968807e-34 5.24227420444e-34 4.3179415247e-34 4.96383386511e-34 5.23340926534e-34 4.34118980601e-34 4.76401317575e-34 5.1765448022e-34 3.82806165086e-34 13 2321.60714286 3871.60857143 1548.95285714
9.5145e+14 1.3465e+15 6.823e+14 5.99002884766e-34 6.54318576217e-34 4.97387744862e-34 6.01987943833e-34 6.55839338629e-34 5.0107427595e-34 6.09853249707e-34 6.58586601986e-34 5.25533399443e-34 5.62448281077e-34 6.47271782392e-34 4.34081503917e-34 14 2285.43714286 3971.5 1507.25714286
3.5953e+14 6.5478e+14 2.4838e+14 1.1698902239e-34 1.68569812475e-34 9.3591939328e-35 1.14200714501e-34 1.70762819334e-34 8.8833294973e-35 1.07771956728e-34 1.44589313392e-34 8.69724154031e-35 9.73061331952e-35 1.39098362152e-34 7.45088905425e-35 15 1652.29714286 3123.06428571 1076.21285714
5.4755e+14 8.732e+14 3.9149e+14 2.40187006161e-34 2.84356178917e-34 1.94797544717e-34 2.18340883078e-34 2.71034024267e-34 1.77481286481e-34 2.1780501731e-34 2.70166098569e-34 1.77041633508e-34 1.94613639274e-34 2.52538767368e-34 1.51467228042e-34 16 1901.00142857 3437.58857143 1252.47571429
6.1496e+14 7.8607e+14 4.0408e+14 2.19955749582e-34 2.37338630908e-34 1.71052050481e-34 2.24394926661e-34 2.37619661085e-34 1.75720504702e-34 2.22287620728e-34 2.3867291449e-34 1.78875355155e-34 2.09452955739e-34 2.33996066414e-34 1.38499644473e-34 17 1976.01571429 3319.21857143 1265.75428571
3.6449e+14 5.6241e+14 2.4207e+14 9.68635163468e-35 1.1846374322e-34 7.76119531383e-35 9.70882148794e-35 1.20435184928e-34 7.70391738144e-35 9.75023129236e-35 1.20252190965e-34 7.74812961897e-35 8.52335527117e-35 1.1337524315e-34 6.4371134595e-35 19 1659.85571429 2968.70714286 1067.02
5.5879e+14 8.0027e+14 4.2582e+14 2.25046817726e-34 2.56487446188e-34 1.90441687276e-34 2.24193121956e-34 2.55619033568e-34 1.8901441683e-34 2.23689815194e-34 2.55332860069e-34 1.90562261989e-34 2.04351473765e-34 2.46463431491e-34 1.63559961881e-34 21 1913.92 3339.09857143 1288.06142857
6.3566e+14 7.239e+14 4.7185e+14 2.42035469681e-34 2.52149804787e-34 2.09758899556e-34 2.4823105186e-34 2.5714577266e-34 2.22521927179e-34 2.43563430089e-34 2.52027189953e-34 2.09184780247e-34 2.35352784734e-34 2.50063453625e-34 1.82734282797e-34 23 1997.94714286 3229.3 1332.89857143
4.2961e+14 6.4899e+14 3.1228e+14 1.40042041138e-34 1.64253710098e-34 1.13086290117e-34 1.36622572711e-34 1.59414427587e-34 1.13993560007e-34 1.37837454301e-34 1.61079741032e-34 1.13618103039e-34 1.23865649605e-34 1.5325872195e-34 9.61023954336e-35 25 1753.34142857 3113.84142857 1161.56
