M200c M200m M500c Yszcyl_x_r200c Yszcyl_x_r500c Yszcyl_y_r200c Yszcyl_y_r500c Yszcyl_z_r200c Yszcyl_z_r500c Yszr200c Yszr500c halo_ids r200c r500c
5.8408e+14 8.6125e+14 4.0583e+14 9.31366235893e-05 7.40661780976e-05 9.44526435512e-05 7.87707935608e-05 9.43528656257e-05 7.50683854735e-05 8.52448923553e-05 6.32383457816e-05 1 1942.37571429 1267.58285714
4.6888e+14 7.5031e+14 3.1033e+14 5.68670954245e-05 4.52587686024e-05 5.47478678493e-05 4.20899779801e-05 5.68377888266e-05 4.41174939279e-05 4.91752903564e-05 3.56615314623e-05 2 1805.21571429 1159.14428571
1.6444e+15 2.3462e+15 1.2338e+15 0.00055337157186 0.00048760697679 0.000552078077763 0.000478315246467 0.000549295604508 0.00048105497684 0.000528962871074 0.00043216294835 3 2742.67428571 1836.30571429
4.4267e+14 6.7713e+14 3.1918e+14 5.6425923345e-05 4.68660844771e-05 5.68404464422e-05 4.83553165771e-05 5.6977235382e-05 4.7556290214e-05 5.19663208344e-05 4.06855432801e-05 4 1770.93 1170.06142857
4.6871e+14 7.2858e+14 2.9799e+14 6.27859056755e-05 4.9658495562e-05 5.4264114206e-05 4.13638938407e-05 5.55944848808e-05 4.32963049802e-05 5.13094654913e-05 3.42639894443e-05 5 1804.99571429 1143.56857143
5.033e+14 7.0305e+14 3.621e+14 7.96893747395e-05 6.56990888572e-05 8.09607025767e-05 6.74653783345e-05 8.04901753658e-05 6.68838292018e-05 7.32012527699e-05 5.63726055566e-05 6 1848.35 1220.31142857
5.119e+14 6.9775e+14 4.0577e+14 7.3856224083e-05 6.73274846673e-05 7.53737600189e-05 6.91044491014e-05 7.38340717501e-05 6.76114122587e-05 7.12589631767e-05 6.26898107603e-05 7 1858.81714286 1267.52571429
1.9414e+14 4.2263e+14 1.2367e+14 1.50230392464e-05 1.02078773449e-05 1.5042334774e-05 1.02791402198e-05 1.92577877174e-05 1.18164960758e-05 1.31570218858e-05 7.87685903497e-06 8 1345.48571429 853.001428571
8.1132e+14 1.1896e+15 5.0735e+14 0.000134035945124 0.000102921145251 0.0001352899273 0.000104590970213 0.000135801681528 0.000105065774877 0.00012209898563 8.43326402358e-05 9 2167.23285714 1365.51571429
4.7725e+14 6.5117e+14 3.1674e+14 5.54934118972e-05 4.41834365366e-05 5.40144860383e-05 3.92641163603e-05 5.3605305099e-05 3.90451349922e-05 4.88482037868e-05 3.09581379999e-05 10 1815.88857143 1167.06857143
4.8126e+14 7.0416e+14 3.2409e+14 5.65739155511e-05 4.9604056747e-05 5.41506773637e-05 4.57691747331e-05 5.29814322677e-05 4.53453549352e-05 5.06339734747e-05 4.04887095235e-05 11 1820.96428571 1176.02
9.9734e+14 1.2475e+15 7.4051e+14 0.000199723334961 0.000177867639449 0.000200024020183 0.000172816402212 0.000199526429071 0.00017407907658 0.000192439234252 0.000153976696209 13 2321.60714286 1548.95285714
9.5145e+14 1.3465e+15 6.823e+14 0.000239946096873 0.000199777899195 0.000240746180855 0.000200973444204 0.000242239341764 0.000210015458767 0.000227252695726 0.000175388640164 14 2285.43714286 1507.25714286
3.5953e+14 6.5478e+14 2.4838e+14 4.6459849855e-05 3.76521616275e-05 4.52415163322e-05 3.56186956984e-05 4.31952181789e-05 3.49931962118e-05 3.92347498491e-05 3.00919994979e-05 15 1652.29714286 1076.21285714
5.4755e+14 8.732e+14 3.9149e+14 8.82070813878e-05 7.40801269233e-05 8.55119824565e-05 7.09544043592e-05 8.60002435153e-05 7.09754264923e-05 7.85656096386e-05 6.11249813821e-05 16 1901.00142857 1252.47571429
6.1496e+14 7.8607e+14 4.0408e+14 8.8532004418e-05 6.91992890167e-05 9.01275833368e-05 7.08711390297e-05 8.91025593011e-05 7.18441519974e-05 8.4691269219e-05 5.60778646442e-05 17 1976.01571429 1265.75428571
3.6449e+14 5.6241e+14 2.4207e+14 3.88880601177e-05 3.12591671613e-05 3.89503706982e-05 3.10666634483e-05 3.91006334522e-05 3.12610102246e-05 3.44736566051e-05 2.60564280235e-05 19 1659.85571429 1067.02
5.5879e+14 8.0027e+14 4.2582e+14 8.93759259977e-05 7.63846612043e-05 8.92506924019e-05 7.59124513551e-05 8.93858382826e-05 7.6697089009e-05 8.2575337673e-05 6.60937395996e-05 21 1913.92 1288.06142857
6.3566e+14 7.239e+14 4.7185e+14 9.74344003419e-05 8.36001168215e-05 9.81413354227e-05 8.84856906459e-05 9.81813315761e-05 8.33307254109e-05 9.50392140466e-05 7.28944164879e-05 23 1997.94714286 1332.89857143
4.2961e+14 6.4899e+14 3.1228e+14 5.51795480178e-05 4.53695569657e-05 5.47757832929e-05 4.58832142349e-05 5.50781235882e-05 4.56943323189e-05 5.00165860446e-05 3.88011519971e-05 25 1753.34142857 1161.56
8.3759e+14 1.2254e+15 5.4317e+14 0.000150608462133 0.000117539883659 0.000154235383133 0.000127410756352 0.000151521457963 0.000119391161179 0.000139902697899 0.000100692112167 26 2190.37857143 1396.92428571
4.991e+14 7.9142e+14 3.6515e+14 8.01232300294e-05 6.81168865213e-05 7.86512834036e-05 6.62970452253e-05 7.8598993835e-05 6.58993377288e-05 7.21024902625e-05 5.74094559711e-05 27 1843.18714286 1223.73142857
7.0836e+14 1.0155e+15 4.6898e+14 0.000126388996962 0.000105891812702 0.000125557699584 0.000103794180582 0.000127664235957 0.000108269890083 0.000118067454736 8.97907843375e-05 29 2071.38 1330.19
6.7093e+14 8.2047e+14 4.7597e+14 9.00716565004e-05 7.2746865424e-05 8.94143756108e-05 7.36153920616e-05 9.08746679681e-05 7.46657213482e-05 8.28471683023e-05 6.16167593136e-05 31 2034.23571429 1336.76428571
6.6016e+14 9.5432e+14 4.8303e+14 0.000107659814214 9.09569348882e-05 0.00010883271643 9.0768446644e-05 0.000110334541311 9.23077498483e-05 9.98442601358e-05 7.78492477914e-05 32 2023.28857143 1343.34428571
1.0319e+15 1.3951e+15 6.3724e+14 0.000192385318913 0.000154462064786 0.000188782235834 0.000137115938181 0.000188751952104 0.000137096268399 0.000174738235894 0.000110794719182 33 2348.15428571 1473.32428571
5.757e+14 8.1489e+14 3.8374e+14 7.36062629346e-05 5.97764018766e-05 7.29626316763e-05 5.83012140823e-05 7.20722173622e-05 5.76176163788e-05 6.52790820146e-05 4.87024523132e-05 34 1933.03285714 1244.15142857
